,trade_date
734,1993/11/4
735,1993/11/5
736,1993/11/8
737,1993/11/9
738,1993/11/10
739,1993/11/11
740,1993/11/12
741,1993/11/15
742,1993/11/16
743,1993/11/17
744,1993/11/18
745,1993/11/19
746,1993/11/22
747,1993/11/23
748,1993/11/24
749,1993/11/25
750,1993/11/26
751,1993/11/29
752,1993/11/30
753,1993/12/1
754,1993/12/2
755,1993/12/3
756,1993/12/6
757,1993/12/7
758,1993/12/8
759,1993/12/9
760,1993/12/10
761,1993/12/13
762,1993/12/14
763,1993/12/15
764,1993/12/16
765,1993/12/17
766,1993/12/20
767,1993/12/21
768,1993/12/22
769,1993/12/23
770,1993/12/24
771,1993/12/27
772,1993/12/28
773,1993/12/29
774,1993/12/30
775,1993/12/31
776,1994/1/3
777,1994/1/4
778,1994/1/5
779,1994/1/6
780,1994/1/7
781,1994/1/10
782,1994/1/11
783,1994/1/12
784,1994/1/13
785,1994/1/14
786,1994/1/17
787,1994/1/18
788,1994/1/19
789,1994/1/20
790,1994/1/21
791,1994/1/24
792,1994/1/25
793,1994/1/26
794,1994/1/27
795,1994/1/28
796,1994/1/31
797,1994/2/1
798,1994/2/2
799,1994/2/3
800,1994/2/4
801,1994/2/14
802,1994/2/15
803,1994/2/16
804,1994/2/17
805,1994/2/18
806,1994/2/21
807,1994/2/22
808,1994/2/23
809,1994/2/24
810,1994/2/25
811,1994/2/28
812,1994/3/1
813,1994/3/2
814,1994/3/3
815,1994/3/4
816,1994/3/7
817,1994/3/8
818,1994/3/9
819,1994/3/10
820,1994/3/11
821,1994/3/14
822,1994/3/15
823,1994/3/16
824,1994/3/17
825,1994/3/18
826,1994/3/21
827,1994/3/22
828,1994/3/23
829,1994/3/24
830,1994/3/25
831,1994/3/28
832,1994/3/29
833,1994/3/30
834,1994/3/31
835,1994/4/1
836,1994/4/4
837,1994/4/5
838,1994/4/6
839,1994/4/7
840,1994/4/8
841,1994/4/11
842,1994/4/12
843,1994/4/13
844,1994/4/14
845,1994/4/15
846,1994/4/18
847,1994/4/19
848,1994/4/20
849,1994/4/21
850,1994/4/22
851,1994/4/25
852,1994/4/26
853,1994/4/27
854,1994/4/28
855,1994/4/29
856,1994/5/3
857,1994/5/4
858,1994/5/5
859,1994/5/6
860,1994/5/9
861,1994/5/10
862,1994/5/11
863,1994/5/12
864,1994/5/13
865,1994/5/16
866,1994/5/17
867,1994/5/18
868,1994/5/19
869,1994/5/20
870,1994/5/23
871,1994/5/24
872,1994/5/25
873,1994/5/26
874,1994/5/27
875,1994/5/30
876,1994/5/31
877,1994/6/1
878,1994/6/2
879,1994/6/3
880,1994/6/6
881,1994/6/7
882,1994/6/8
883,1994/6/9
884,1994/6/10
885,1994/6/13
886,1994/6/14
887,1994/6/15
888,1994/6/16
889,1994/6/17
890,1994/6/20
891,1994/6/21
892,1994/6/22
893,1994/6/23
894,1994/6/24
895,1994/6/27
896,1994/6/28
897,1994/6/29
898,1994/6/30
899,1994/7/1
900,1994/7/4
901,1994/7/5
902,1994/7/6
903,1994/7/7
904,1994/7/8
905,1994/7/11
906,1994/7/12
907,1994/7/13
908,1994/7/14
909,1994/7/15
910,1994/7/18
911,1994/7/19
912,1994/7/20
913,1994/7/21
914,1994/7/22
915,1994/7/25
916,1994/7/26
917,1994/7/27
918,1994/7/28
919,1994/7/29
920,1994/8/1
921,1994/8/2
922,1994/8/3
923,1994/8/4
924,1994/8/5
925,1994/8/8
926,1994/8/9
927,1994/8/10
928,1994/8/11
929,1994/8/12
930,1994/8/15
931,1994/8/16
932,1994/8/17
933,1994/8/18
934,1994/8/19
935,1994/8/22
936,1994/8/23
937,1994/8/24
938,1994/8/25
939,1994/8/26
940,1994/8/29
941,1994/8/30
942,1994/8/31
943,1994/9/1
944,1994/9/2
945,1994/9/5
946,1994/9/6
947,1994/9/7
948,1994/9/8
949,1994/9/9
950,1994/9/12
951,1994/9/13
952,1994/9/14
953,1994/9/15
954,1994/9/16
955,1994/9/19
956,1994/9/20
957,1994/9/21
958,1994/9/22
959,1994/9/23
960,1994/9/26
961,1994/9/27
962,1994/9/28
963,1994/9/29
964,1994/9/30
965,1994/10/5
966,1994/10/6
967,1994/10/7
968,1994/10/10
969,1994/10/11
970,1994/10/12
971,1994/10/13
972,1994/10/14
973,1994/10/17
974,1994/10/18
975,1994/10/19
976,1994/10/20
977,1994/10/21
978,1994/10/24
979,1994/10/25
980,1994/10/26
981,1994/10/27
982,1994/10/28
983,1994/10/31
984,1994/11/1
985,1994/11/2
986,1994/11/3
987,1994/11/4
988,1994/11/7
989,1994/11/8
990,1994/11/9
991,1994/11/10
992,1994/11/11
993,1994/11/14
994,1994/11/15
995,1994/11/16
996,1994/11/17
997,1994/11/18
998,1994/11/21
999,1994/11/22
1000,1994/11/23
1001,1994/11/24
1002,1994/11/25
1003,1994/11/28
1004,1994/11/29
1005,1994/11/30
1006,1994/12/1
1007,1994/12/2
1008,1994/12/5
1009,1994/12/6
1010,1994/12/7
1011,1994/12/8
1012,1994/12/9
1013,1994/12/12
1014,1994/12/13
1015,1994/12/14
1016,1994/12/15
1017,1994/12/16
1018,1994/12/19
1019,1994/12/20
1020,1994/12/21
1021,1994/12/22
1022,1994/12/23
1023,1994/12/26
1024,1994/12/27
1025,1994/12/28
1026,1994/12/29
1027,1994/12/30
1028,1995/1/3
1029,1995/1/4
1030,1995/1/5
1031,1995/1/6
1032,1995/1/9
1033,1995/1/10
1034,1995/1/11
1035,1995/1/12
1036,1995/1/13
1037,1995/1/16
1038,1995/1/17
1039,1995/1/18
1040,1995/1/19
1041,1995/1/20
1042,1995/1/23
1043,1995/1/24
1044,1995/1/25
1045,1995/1/26
1046,1995/1/27
1047,1995/2/6
1048,1995/2/7
1049,1995/2/8
1050,1995/2/9
1051,1995/2/10
1052,1995/2/13
1053,1995/2/14
1054,1995/2/15
1055,1995/2/16
1056,1995/2/17
1057,1995/2/20
1058,1995/2/21
1059,1995/2/22
1060,1995/2/23
1061,1995/2/24
1062,1995/2/27
1063,1995/2/28
1064,1995/3/1
1065,1995/3/2
1066,1995/3/3
1067,1995/3/6
1068,1995/3/7
1069,1995/3/8
1070,1995/3/9
1071,1995/3/10
1072,1995/3/13
1073,1995/3/14
1074,1995/3/15
1075,1995/3/16
1076,1995/3/17
1077,1995/3/20
1078,1995/3/21
1079,1995/3/22
1080,1995/3/23
1081,1995/3/24
1082,1995/3/27
1083,1995/3/28
1084,1995/3/29
1085,1995/3/30
1086,1995/3/31
1087,1995/4/3
1088,1995/4/4
1089,1995/4/5
1090,1995/4/6
1091,1995/4/7
1092,1995/4/10
1093,1995/4/11
1094,1995/4/12
1095,1995/4/13
1096,1995/4/14
1097,1995/4/17
1098,1995/4/18
1099,1995/4/19
1100,1995/4/20
1101,1995/4/21
1102,1995/4/24
1103,1995/4/25
1104,1995/4/26
1105,1995/4/27
1106,1995/4/28
1107,1995/5/2
1108,1995/5/3
1109,1995/5/4
1110,1995/5/5
1111,1995/5/8
1112,1995/5/9
1113,1995/5/10
1114,1995/5/11
1115,1995/5/12
1116,1995/5/15
1117,1995/5/16
1118,1995/5/17
1119,1995/5/18
1120,1995/5/19
1121,1995/5/22
1122,1995/5/23
1123,1995/5/24
1124,1995/5/25
1125,1995/5/26
1126,1995/5/29
1127,1995/5/30
1128,1995/5/31
1129,1995/6/1
1130,1995/6/2
1131,1995/6/5
1132,1995/6/6
1133,1995/6/7
1134,1995/6/8
1135,1995/6/9
1136,1995/6/12
1137,1995/6/13
1138,1995/6/14
1139,1995/6/15
1140,1995/6/16
1141,1995/6/19
1142,1995/6/20
1143,1995/6/21
1144,1995/6/22
1145,1995/6/23
1146,1995/6/26
1147,1995/6/27
1148,1995/6/28
1149,1995/6/29
1150,1995/6/30
1151,1995/7/3
1152,1995/7/4
1153,1995/7/5
1154,1995/7/6
1155,1995/7/7
1156,1995/7/10
1157,1995/7/11
1158,1995/7/12
1159,1995/7/13
1160,1995/7/14
1161,1995/7/17
1162,1995/7/18
1163,1995/7/19
1164,1995/7/20
1165,1995/7/21
1166,1995/7/24
1167,1995/7/25
1168,1995/7/26
1169,1995/7/27
1170,1995/7/28
1171,1995/7/31
1172,1995/8/1
1173,1995/8/2
1174,1995/8/3
1175,1995/8/4
1176,1995/8/7
1177,1995/8/8
1178,1995/8/9
1179,1995/8/10
1180,1995/8/11
1181,1995/8/14
1182,1995/8/15
1183,1995/8/16
1184,1995/8/17
1185,1995/8/18
1186,1995/8/21
1187,1995/8/22
1188,1995/8/23
1189,1995/8/24
1190,1995/8/25
1191,1995/8/28
1192,1995/8/29
1193,1995/8/30
1194,1995/8/31
1195,1995/9/1
1196,1995/9/4
1197,1995/9/5
1198,1995/9/6
1199,1995/9/7
1200,1995/9/8
1201,1995/9/11
1202,1995/9/12
1203,1995/9/13
1204,1995/9/14
1205,1995/9/15
1206,1995/9/18
1207,1995/9/19
1208,1995/9/20
1209,1995/9/21
1210,1995/9/22
1211,1995/9/25
1212,1995/9/26
1213,1995/9/27
1214,1995/9/28
1215,1995/9/29
1216,1995/10/4
1217,1995/10/5
1218,1995/10/6
1219,1995/10/9
1220,1995/10/10
1221,1995/10/11
1222,1995/10/12
1223,1995/10/13
1224,1995/10/16
1225,1995/10/17
1226,1995/10/18
1227,1995/10/19
1228,1995/10/20
1229,1995/10/23
1230,1995/10/24
1231,1995/10/25
1232,1995/10/26
1233,1995/10/27
1234,1995/10/30
1235,1995/10/31
1236,1995/11/1
1237,1995/11/2
1238,1995/11/3
1239,1995/11/6
1240,1995/11/7
1241,1995/11/8
1242,1995/11/9
1243,1995/11/10
1244,1995/11/13
1245,1995/11/14
1246,1995/11/15
1247,1995/11/16
1248,1995/11/17
1249,1995/11/20
1250,1995/11/21
1251,1995/11/22
1252,1995/11/23
1253,1995/11/24
1254,1995/11/27
1255,1995/11/28
1256,1995/11/29
1257,1995/11/30
1258,1995/12/1
1259,1995/12/4
1260,1995/12/5
1261,1995/12/6
1262,1995/12/7
1263,1995/12/8
1264,1995/12/11
1265,1995/12/12
1266,1995/12/13
1267,1995/12/14
1268,1995/12/15
1269,1995/12/18
1270,1995/12/19
1271,1995/12/20
1272,1995/12/21
1273,1995/12/22
1274,1995/12/25
1275,1995/12/26
1276,1995/12/27
1277,1995/12/28
1278,1995/12/29
1279,1996/1/2
1280,1996/1/3
1281,1996/1/4
1282,1996/1/5
1283,1996/1/8
1284,1996/1/9
1285,1996/1/10
1286,1996/1/11
1287,1996/1/12
1288,1996/1/15
1289,1996/1/16
1290,1996/1/17
1291,1996/1/18
1292,1996/1/19
1293,1996/1/22
1294,1996/1/23
1295,1996/1/24
1296,1996/1/25
1297,1996/1/26
1298,1996/1/29
1299,1996/1/30
1300,1996/1/31
1301,1996/2/1
1302,1996/2/2
1303,1996/2/5
1304,1996/2/6
1305,1996/2/7
1306,1996/2/8
1307,1996/2/9
1308,1996/2/12
1309,1996/2/13
1310,1996/2/14
1311,1996/2/15
1312,1996/2/16
1313,1996/3/4
1314,1996/3/5
1315,1996/3/6
1316,1996/3/7
1317,1996/3/8
1318,1996/3/11
1319,1996/3/12
1320,1996/3/13
1321,1996/3/14
1322,1996/3/15
1323,1996/3/18
1324,1996/3/19
1325,1996/3/20
1326,1996/3/21
1327,1996/3/22
1328,1996/3/25
1329,1996/3/26
1330,1996/3/27
1331,1996/3/28
1332,1996/3/29
1333,1996/4/1
1334,1996/4/2
1335,1996/4/3
1336,1996/4/4
1337,1996/4/5
1338,1996/4/8
1339,1996/4/9
1340,1996/4/10
1341,1996/4/11
1342,1996/4/12
1343,1996/4/15
1344,1996/4/16
1345,1996/4/17
1346,1996/4/18
1347,1996/4/19
1348,1996/4/22
1349,1996/4/23
1350,1996/4/24
1351,1996/4/25
1352,1996/4/26
1353,1996/4/29
1354,1996/4/30
1355,1996/5/2
1356,1996/5/3
1357,1996/5/6
1358,1996/5/7
1359,1996/5/8
1360,1996/5/9
1361,1996/5/10
1362,1996/5/13
1363,1996/5/14
1364,1996/5/15
1365,1996/5/16
1366,1996/5/17
1367,1996/5/20
1368,1996/5/21
1369,1996/5/22
1370,1996/5/23
1371,1996/5/24
1372,1996/5/27
1373,1996/5/28
1374,1996/5/29
1375,1996/5/30
1376,1996/5/31
1377,1996/6/3
1378,1996/6/4
1379,1996/6/5
1380,1996/6/6
1381,1996/6/7
1382,1996/6/10
1383,1996/6/11
1384,1996/6/12
1385,1996/6/13
1386,1996/6/14
1387,1996/6/17
1388,1996/6/18
1389,1996/6/19
1390,1996/6/20
1391,1996/6/21
1392,1996/6/24
1393,1996/6/25
1394,1996/6/26
1395,1996/6/27
1396,1996/6/28
1397,1996/7/1
1398,1996/7/2
1399,1996/7/3
1400,1996/7/4
1401,1996/7/5
1402,1996/7/8
1403,1996/7/9
1404,1996/7/10
1405,1996/7/11
1406,1996/7/12
1407,1996/7/15
1408,1996/7/16
1409,1996/7/17
1410,1996/7/18
1411,1996/7/19
1412,1996/7/22
1413,1996/7/23
1414,1996/7/24
1415,1996/7/25
1416,1996/7/26
1417,1996/7/29
1418,1996/7/30
1419,1996/7/31
1420,1996/8/1
1421,1996/8/2
1422,1996/8/5
1423,1996/8/6
1424,1996/8/7
1425,1996/8/8
1426,1996/8/9
1427,1996/8/12
1428,1996/8/13
1429,1996/8/14
1430,1996/8/15
1431,1996/8/16
1432,1996/8/19
1433,1996/8/20
1434,1996/8/21
1435,1996/8/22
1436,1996/8/23
1437,1996/8/26
1438,1996/8/27
1439,1996/8/28
1440,1996/8/29
1441,1996/8/30
1442,1996/9/2
1443,1996/9/3
1444,1996/9/4
1445,1996/9/5
1446,1996/9/6
1447,1996/9/9
1448,1996/9/10
1449,1996/9/11
1450,1996/9/12
1451,1996/9/13
1452,1996/9/16
1453,1996/9/17
1454,1996/9/18
1455,1996/9/19
1456,1996/9/20
1457,1996/9/23
1458,1996/9/24
1459,1996/9/25
1460,1996/9/26
1461,1996/9/27
1462,1996/10/3
1463,1996/10/4
1464,1996/10/7
1465,1996/10/8
1466,1996/10/9
1467,1996/10/10
1468,1996/10/11
1469,1996/10/14
1470,1996/10/15
1471,1996/10/16
1472,1996/10/17
1473,1996/10/18
1474,1996/10/21
1475,1996/10/22
1476,1996/10/23
1477,1996/10/24
1478,1996/10/25
1479,1996/10/28
1480,1996/10/29
1481,1996/10/30
1482,1996/10/31
1483,1996/11/1
1484,1996/11/4
1485,1996/11/5
1486,1996/11/6
1487,1996/11/7
1488,1996/11/8
1489,1996/11/11
1490,1996/11/12
1491,1996/11/13
1492,1996/11/14
1493,1996/11/15
1494,1996/11/18
1495,1996/11/19
1496,1996/11/20
1497,1996/11/21
